iter	RMSE
0	14.09123369
1	13.30229372
2	12.48161368
3	11.86898933
4	11.29390069
5	10.79497105
6	10.33725581
7	9.924382712
8	9.448859667
9	9.027420732
10	8.653647615
11	8.38110689
12	8.128281958
13	7.845261823
14	7.615746825
15	7.375684719
16	7.170077764
17	7.002890328
18	6.853638126
19	6.737877286
20	6.608828987
21	6.505927774
22	6.402751906
23	6.301797222
24	6.214340698
25	6.150252827
26	6.079583136
27	6.023162902
28	5.961615531
29	5.907001962
30	5.869723434
31	5.827762078
32	5.78004472
33	5.754345163
34	5.732438674
35	5.708133749
36	5.679311972
37	5.651307127
38	5.634901145
39	5.610624954
40	5.594880665
41	5.566252848
42	5.547492478
43	5.531800796
44	5.514077282
45	5.492689171
46	5.476715896
47	5.454400169
48	5.442417989
49	5.427500844
50	5.420704764
51	5.40845984
52	5.403689106
53	5.392882687
54	5.38413836
55	5.367227039
56	5.360044629
57	5.342947225
58	5.332983638
59	5.321504472
60	5.312744648
61	5.298345712
62	5.28661375
63	5.278230603
64	5.274217213
65	5.266351516
66	5.261252289
67	5.251824763
68	5.235514044
69	5.223675861
70	5.216526989
71	5.212188123
72	5.206163168
73	5.199564323
74	5.194178245
75	5.187394768
76	5.174528403
77	5.168015733
78	5.164256133
79	5.158532105
80	5.154701339
81	5.151941888
82	5.140172572
83	5.137178933
84	5.128722707
85	5.123663555
86	5.114377629
87	5.111104133
88	5.105973536
89	5.090912183
90	5.089712708
91	5.086777636
92	5.081326026
93	5.076542271
94	5.075485002
95	5.065351738
96	5.052638867
97	5.051689678
98	5.044071669
99	5.042595588
