iter	Passed	Remaining
0	139	13799
1	140	6893
2	141	4578
3	144	3471
4	145	2770
5	146	2301
6	147	1966
7	148	1712
8	149	1515
9	150	1358
10	151	1229
11	152	1120
12	153	1028
13	154	950
14	156	884
15	157	825
16	158	771
17	159	724
18	159	682
19	161	644
20	162	610
21	163	578
22	164	549
23	165	523
24	166	498
25	166	475
26	167	453
27	168	433
28	169	415
29	170	397
30	171	381
31	172	365
32	172	350
33	173	337
34	174	324
35	175	311
36	176	300
37	177	288
38	177	278
39	179	268
40	179	259
41	180	249
42	181	240
43	182	232
44	183	224
45	184	216
46	185	208
47	185	201
48	186	194
49	187	187
50	188	181
51	189	174
52	190	168
53	191	162
54	192	157
55	193	151
56	194	146
57	195	141
58	195	136
59	196	131
60	197	126
61	198	121
62	199	117
63	200	112
64	201	108
65	201	104
66	202	99
67	203	95
68	204	91
69	205	88
70	206	84
71	207	80
72	208	77
73	209	73
74	209	69
75	210	66
76	211	63
77	212	59
78	213	56
79	214	53
80	214	50
81	215	47
82	216	44
83	217	41
84	218	38
85	219	35
86	220	32
87	221	30
88	222	27
89	223	24
90	224	22
91	224	19
92	225	16
93	226	14
94	227	11
95	228	9
96	228	7
97	229	4
98	230	2
99	231	0
