iter	Passed	Remaining
0	137	137402
1	140	70353
2	142	47380
3	144	35901
4	145	28994
5	147	24372
6	148	21114
7	150	18630
8	151	16704
9	155	15357
10	156	14107
11	158	13066
12	160	12149
13	161	11361
14	162	10674
15	163	10072
16	165	9544
17	166	9073
18	167	8653
19	170	8352
20	172	8025
21	173	7721
22	175	7434
23	176	7169
24	177	6924
25	178	6697
26	180	6487
27	181	6298
28	183	6131
29	184	5977
30	186	5836
31	188	5689
32	189	5558
33	191	5446
34	193	5332
35	194	5213
36	195	5100
37	197	4999
38	199	4917
39	200	4821
40	202	4729
41	203	4640
42	204	4556
43	205	4474
44	207	4397
45	208	4323
46	209	4252
47	211	4186
48	213	4150
49	215	4094
50	216	4036
51	218	3978
52	219	3922
53	220	3869
54	222	3818
55	223	3770
56	224	3722
57	227	3696
58	229	3657
59	230	3611
60	231	3568
61	233	3526
62	234	3485
63	235	3445
64	236	3407
65	238	3371
66	239	3337
67	241	3311
68	243	3282
69	244	3249
70	245	3217
71	247	3185
72	248	3154
73	249	3124
74	251	3095
75	253	3077
76	254	3050
77	256	3034
78	258	3012
79	259	2989
80	261	2964
81	262	2938
82	263	2908
83	264	2884
84	266	2864
85	267	2841
86	268	2819
87	270	2803
88	272	2784
89	273	2764
90	274	2746
91	277	2734
92	279	2723
93	280	2703
94	281	2683
95	282	2664
96	285	2654
97	286	2639
98	288	2622
99	289	2604
100	290	2587
101	291	2569
102	293	2554
103	294	2538
104	295	2522
105	297	2506
106	298	2492
107	301	2487
108	302	2475
109	304	2461
110	305	2446
111	306	2433
112	308	2423
113	310	2409
114	311	2396
115	312	2382
116	314	2372
117	316	2362
118	317	2349
119	318	2336
120	319	2323
121	321	2310
122	322	2298
123	323	2286
124	324	2274
125	326	2262
126	327	2249
127	329	2246
128	331	2237
129	332	2225
130	333	2214
131	335	2206
132	336	2195
133	338	2184
134	339	2174
135	340	2163
136	341	2154
137	344	2152
138	346	2144
139	347	2134
140	348	2125
141	349	2113
142	351	2103
143	352	2094
144	353	2085
145	354	2075
146	356	2066
147	358	2066
148	361	2062
149	364	2063
150	365	2057
151	367	2051
152	370	2051
153	374	2057
154	376	2053
155	380	2061
156	383	2057
157	384	2049
158	386	2042
159	387	2036
160	389	2027
161	390	2020
162	392	2013
163	393	2006
164	394	1998
165	396	1991
166	397	1983
167	399	1977
168	403	1981
169	404	1975
170	405	1968
171	407	1961
172	408	1954
173	410	1947
174	411	1940
175	412	1933
176	414	1926
177	418	1933
178	420	1926
179	421	1920
180	422	1913
181	424	1906
182	425	1899
183	426	1892
184	428	1888
185	431	1888
186	434	1887
187	435	1880
188	436	1874
189	438	1868
190	439	1862
191	441	1856
192	444	1859
193	446	1854
194	447	1847
195	448	1841
196	450	1835
197	451	1828
198	452	1823
199	454	1818
200	457	1817
201	462	1825
202	463	1820
203	465	1816
204	467	1811
205	468	1806
206	470	1802
207	472	1797
208	474	1797
209	476	1792
210	478	1788
211	479	1782
212	480	1776
213	482	1770
214	483	1764
215	484	1759
216	485	1753
217	489	1754
218	490	1748
219	491	1743
220	493	1739
221	494	1734
222	496	1730
223	497	1724
224	499	1719
225	500	1713
226	501	1708
227	503	1705
228	505	1700
229	506	1696
230	507	1690
231	509	1685
232	510	1680
233	511	1674
234	513	1671
235	514	1666
236	519	1672
237	521	1670
238	523	1667
239	525	1663
240	526	1659
241	528	1654
242	529	1650
243	531	1647
244	533	1644
245	535	1642
246	537	1638
247	540	1637
248	541	1634
249	543	1629
250	544	1625
251	546	1620
252	548	1620
253	551	1619
254	553	1616
255	555	1613
256	556	1609
257	558	1604
258	559	1600
259	560	1595
260	563	1595
261	565	1591
262	566	1588
263	568	1584
264	569	1579
265	570	1574
266	571	1570
267	573	1565
268	574	1560
269	577	1560
270	578	1557
271	580	1552
272	581	1548
273	582	1543
274	583	1539
275	585	1534
276	586	1530
277	587	1526
278	588	1521
279	591	1521
280	593	1518
281	594	1514
282	595	1509
283	597	1505
284	598	1501
285	599	1496
286	600	1492
287	602	1488
288	603	1484
289	605	1483
290	608	1482
291	609	1478
292	610	1473
293	612	1469
294	613	1465
295	614	1461
296	615	1457
297	617	1453
298	618	1450
299	621	1449
300	622	1445
301	623	1441
302	625	1437
303	626	1433
304	627	1430
305	628	1426
306	630	1422
307	631	1418
308	632	1414
309	637	1417
310	638	1414
311	641	1413
312	642	1410
313	644	1407
314	645	1404
315	648	1402
316	650	1400
317	652	1399
318	654	1396
319	657	1398
320	659	1395
321	661	1391
322	663	1390
323	665	1389
324	667	1385
325	668	1381
326	669	1378
327	670	1374
328	672	1370
329	673	1367
330	674	1363
331	676	1361
332	679	1361
333	681	1358
334	682	1355
335	684	1352
336	685	1349
337	687	1345
338	688	1342
339	689	1339
340	691	1335
341	694	1335
342	695	1332
343	697	1329
344	698	1326
345	699	1322
346	701	1319
347	702	1315
348	703	1313
349	705	1309
350	706	1306
351	709	1305
352	710	1302
353	719	1312
354	728	1323
355	730	1320
356	732	1319
357	735	1318
358	736	1315
359	746	1327
360	749	1327
361	751	1324
362	755	1325
363	757	1322
364	758	1319
365	760	1316
366	761	1313
367	763	1312
368	768	1313
369	772	1314
370	787	1335
371	793	1339
372	797	1340
373	801	1341
374	803	1339
375	806	1337
376	808	1336
377	812	1336
378	813	1333
379	816	1331
380	818	1328
381	819	1325
382	820	1322
383	822	1319
384	823	1316
385	825	1312
386	826	1309
387	828	1306
388	832	1307
389	835	1306
390	836	1302
391	838	1299
392	839	1296
393	840	1293
394	842	1290
395	843	1286
396	845	1284
397	847	1282
398	850	1280
399	855	1283
400	858	1281
401	859	1278
402	862	1277
403	863	1274
404	865	1271
405	866	1267
406	867	1264
407	868	1260
408	870	1257
409	874	1257
410	876	1255
411	878	1253
412	880	1251
413	882	1249
414	899	1268
415	911	1279
416	915	1279
417	919	1280
418	923	1280
419	927	1281
420	929	1278
421	932	1276
422	934	1274
423	935	1271
424	940	1272
425	942	1270
426	944	1268
427	947	1266
428	950	1264
429	955	1266
430	957	1264
431	959	1261
432	962	1260
433	965	1258
434	972	1263
435	983	1272
436	986	1270
437	988	1268
438	991	1267
439	996	1268
440	1001	1268
441	1003	1266
442	1004	1263
443	1006	1260
444	1008	1257
445	1009	1254
446	1010	1250
447	1012	1247
448	1015	1246
449	1018	1244
450	1019	1241
451	1021	1238
452	1023	1236
453	1025	1233
454	1027	1230
455	1032	1231
456	1034	1229
457	1036	1226
458	1037	1222
459	1038	1219
460	1040	1216
461	1041	1212
462	1042	1209
463	1045	1207
464	1046	1204
465	1048	1201
466	1050	1198
467	1054	1198
468	1057	1197
469	1059	1195
470	1061	1192
471	1063	1189
472	1064	1186
473	1066	1183
474	1068	1180
475	1069	1177
476	1071	1174
477	1074	1173
478	1076	1171
479	1078	1168
480	1079	1165
481	1081	1161
482	1082	1158
483	1084	1155
484	1085	1152
485	1086	1149
486	1088	1146
487	1090	1143
488	1091	1140
489	1093	1137
490	1094	1134
491	1096	1131
492	1097	1128
493	1098	1125
494	1099	1122
495	1102	1120
496	1104	1117
497	1105	1114
498	1106	1111
499	1108	1108
500	1109	1104
501	1110	1101
502	1111	1098
503	1113	1095
504	1114	1092
505	1117	1090
506	1119	1088
507	1120	1085
508	1121	1081
509	1122	1078
510	1124	1075
511	1125	1072
512	1126	1069
513	1128	1066
514	1130	1064
515	1131	1061
516	1133	1058
517	1134	1055
518	1136	1052
519	1138	1050
520	1140	1048
521	1141	1045
522	1142	1042
523	1145	1040
524	1146	1037
525	1148	1034
526	1149	1031
527	1150	1028
528	1151	1025
529	1153	1022
530	1154	1019
531	1156	1017
532	1157	1014
533	1159	1011
534	1161	1009
535	1162	1006
536	1164	1003
537	1165	1000
538	1166	997
539	1167	994
540	1169	992
541	1172	990
542	1175	989
543	1177	987
544	1179	984
545	1180	981
546	1182	979
547	1184	976
548	1185	974
549	1187	971
550	1191	970
551	1192	968
552	1194	965
553	1196	962
554	1197	960
555	1198	957
556	1199	954
557	1201	951
558	1202	949
559	1204	946
560	1206	943
561	1207	941
562	1208	938
563	1210	935
564	1211	933
565	1213	930
566	1214	927
567	1215	924
568	1218	922
569	1220	920
570	1221	917
571	1222	915
572	1224	912
573	1225	909
574	1226	906
575	1227	903
576	1229	901
577	1230	898
578	1232	896
579	1234	893
580	1235	891
581	1237	888
582	1239	886
583	1240	883
584	1242	881
585	1243	878
586	1244	875
587	1246	873
588	1248	871
589	1249	868
590	1251	865
591	1252	863
592	1253	860
593	1254	857
594	1256	855
595	1257	852
596	1258	849
597	1261	848
598	1263	845
599	1264	843
600	1265	840
601	1267	837
602	1268	835
603	1269	832
604	1270	829
605	1272	827
606	1273	824
607	1274	821
608	1276	819
609	1278	817
610	1280	814
611	1281	812
612	1282	809
613	1283	807
614	1285	804
615	1286	801
616	1287	799
617	1292	798
618	1293	796
619	1296	794
620	1298	792
621	1299	789
622	1301	787
623	1302	785
624	1306	783
625	1308	781
626	1309	779
627	1311	776
628	1312	774
629	1314	771
630	1316	769
631	1317	767
632	1320	765
633	1322	763
634	1323	760
635	1324	758
636	1326	755
637	1327	753
638	1328	750
639	1329	748
640	1331	745
641	1332	743
642	1334	741
643	1336	738
644	1337	736
645	1339	733
646	1341	731
647	1343	729
648	1344	727
649	1345	724
650	1347	722
651	1349	720
652	1350	717
653	1352	715
654	1353	712
655	1354	710
656	1355	707
657	1357	705
658	1358	702
659	1359	700
660	1361	698
661	1363	696
662	1364	693
663	1366	691
664	1367	688
665	1368	686
666	1370	684
667	1371	681
668	1372	679
669	1373	676
670	1376	675
671	1378	672
672	1379	670
673	1381	667
674	1382	665
675	1383	663
676	1384	660
677	1386	658
678	1388	656
679	1389	653
680	1391	651
681	1393	649
682	1394	647
683	1395	644
684	1397	642
685	1398	640
686	1399	637
687	1401	635
688	1402	633
689	1404	630
690	1406	629
691	1408	626
692	1409	624
693	1411	622
694	1412	619
695	1414	617
696	1415	615
697	1419	613
698	1420	611
699	1422	609
700	1424	607
701	1427	605
702	1430	604
703	1431	601
704	1434	600
705	1436	598
706	1438	595
707	1439	593
708	1441	591
709	1442	589
710	1443	586
711	1445	584
712	1446	582
713	1448	580
714	1450	578
715	1451	575
716	1453	573
717	1454	571
718	1455	569
719	1457	566
720	1458	564
721	1459	562
722	1460	559
723	1463	557
724	1465	555
725	1466	553
726	1468	551
727	1469	549
728	1470	546
729	1471	544
730	1473	542
731	1474	539
732	1475	537
733	1478	535
734	1480	533
735	1481	531
736	1482	529
737	1484	526
738	1485	524
739	1486	522
740	1488	520
741	1489	517
742	1490	515
743	1493	514
744	1495	511
745	1496	509
746	1498	507
747	1499	505
748	1500	502
749	1502	500
750	1503	498
751	1504	496
752	1506	494
753	1508	492
754	1510	490
755	1511	487
756	1513	485
757	1515	483
758	1516	481
759	1518	479
760	1519	477
761	1521	475
762	1525	473
763	1526	471
764	1528	469
765	1529	467
766	1530	465
767	1532	462
768	1533	460
769	1534	458
770	1537	456
771	1539	454
772	1542	452
773	1544	450
774	1545	448
775	1546	446
776	1548	444
777	1552	443
778	1555	441
779	1556	439
780	1558	436
781	1560	434
782	1561	432
783	1563	430
784	1566	428
785	1567	426
786	1569	424
787	1570	422
788	1572	420
789	1573	418
790	1574	416
791	1576	413
792	1577	411
793	1579	409
794	1581	407
795	1583	405
796	1584	403
797	1586	401
798	1587	399
799	1588	397
800	1589	394
801	1590	392
802	1592	390
803	1594	388
804	1595	386
805	1597	384
806	1598	382
807	1599	380
808	1601	378
809	1602	375
810	1603	373
811	1605	371
812	1607	369
813	1609	367
814	1610	365
815	1612	363
816	1614	361
817	1615	359
818	1616	357
819	1617	355
820	1619	353
821	1620	350
822	1621	348
823	1624	346
824	1625	344
825	1627	342
826	1628	340
827	1630	338
828	1631	336
829	1632	334
830	1634	332
831	1635	330
832	1636	328
833	1639	326
834	1640	324
835	1642	322
836	1643	320
837	1644	317
838	1646	315
839	1647	313
840	1648	311
841	1649	309
842	1651	307
843	1653	305
844	1655	303
845	1656	301
846	1657	299
847	1659	297
848	1661	295
849	1664	293
850	1666	291
851	1668	289
852	1671	287
853	1673	286
854	1674	284
855	1676	282
856	1678	280
857	1679	277
858	1682	276
859	1684	274
860	1687	272
861	1690	270
862	1692	268
863	1693	266
864	1694	264
865	1696	262
866	1698	260
867	1699	258
868	1700	256
869	1702	254
870	1703	252
871	1704	250
872	1706	248
873	1707	246
874	1708	244
875	1710	242
876	1712	240
877	1714	238
878	1715	236
879	1717	234
880	1718	232
881	1719	230
882	1720	228
883	1721	225
884	1723	223
885	1724	221
886	1727	220
887	1728	218
888	1729	216
889	1731	214
890	1732	211
891	1734	209
892	1735	207
893	1736	205
894	1737	203
895	1739	201
896	1743	200
897	1744	198
898	1745	196
899	1746	194
900	1748	192
901	1749	190
902	1750	188
903	1751	186
904	1753	184
905	1756	182
906	1757	180
907	1759	178
908	1760	176
909	1761	174
910	1763	172
911	1764	170
912	1765	168
913	1766	166
914	1767	164
915	1770	162
916	1772	160
917	1773	158
918	1774	156
919	1776	154
920	1777	152
921	1778	150
922	1779	148
923	1781	146
924	1782	144
925	1785	142
926	1786	140
927	1788	138
928	1789	136
929	1790	134
930	1791	132
931	1793	130
932	1794	128
933	1802	127
934	1804	125
935	1805	123
936	1807	121
937	1808	119
938	1810	117
939	1812	115
940	1814	113
941	1817	111
942	1818	109
943	1820	107
944	1822	106
945	1823	104
946	1825	102
947	1826	100
948	1827	98
949	1830	96
950	1831	94
951	1833	92
952	1834	90
953	1835	88
954	1837	86
955	1838	84
956	1839	82
957	1840	80
958	1842	78
959	1845	76
960	1846	74
961	1848	73
962	1849	71
963	1850	69
964	1852	67
965	1853	65
966	1854	63
967	1856	61
968	1857	59
969	1860	57
970	1861	55
971	1862	53
972	1863	51
973	1865	49
974	1866	47
975	1868	45
976	1869	44
977	1870	42
978	1872	40
979	1874	38
980	1875	36
981	1876	34
982	1879	32
983	1880	30
984	1882	28
985	1883	26
986	1884	24
987	1886	22
988	1888	21
989	1889	19
990	1891	17
991	1892	15
992	1893	13
993	1895	11
994	1896	9
995	1897	7
996	1899	5
997	1900	3
998	1903	1
999	1904	0
